Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7700.82,1.7,0.185877
MDG-a_2_n500_m50,7721.71,0.64,0.163316
MDG-a_3_n500_m50,7705.94,0.69,0.19582
MDG-a_4_n500_m50,7645.81,1.6,0.203958
MDG-a_5_n500_m50,7643.15,1.45,0.210678
MDG-a_6_n500_m50,7664.54,1.4,0.186335
MDG-a_7_n500_m50,7700.58,0.92,0.180075
MDG-a_8_n500_m50,7692.35,0.76,0.202284
MDG-a_9_n500_m50,7623.02,1.89,0.174959
MDG-a_10_n500_m50,7711.32,0.89,0.165259
MDG-b_21_n2000_m200,11098034.367619,1.79,12.714229
MDG-b_22_n2000_m200,11114872.596709,1.52,13.74357
MDG-b_23_n2000_m200,11046514.713112,2.24,13.221175
MDG-b_24_n2000_m200,11085811.030799,1.82,12.426276
MDG-b_25_n2000_m200,11108364.164213,1.66,13.379022
MDG-b_26_n2000_m200,11101324.660648,1.69,12.462323
MDG-b_27_n2000_m200,11108922.583065,1.74,12.367685
MDG-b_28_n2000_m200,11114670.65925,1.46,12.96751
MDG-b_29_n2000_m200,11163653.99827,1.18,12.191321
MDG-b_30_n2000_m200,11092297.742468,1.81,11.631424
MDG-c_1_n3000_m300,24501042,1.54,41.494163
MDG-c_2_n3000_m300,24455245,1.81,39.206223
MDG-c_8_n3000_m400,42827259,1.4,52.130071
MDG-c_9_n3000_m400,42743253,1.6,50.978821
MDG-c_10_n3000_m400,42808199,1.54,51.95662
MDG-c_13_n3000_m500,66183870,1.24,70.166402
MDG-c_14_n3000_m500,66120270,1.28,67.915979
MDG-c_15_n3000_m500,66236107,1.13,65.384416
MDG-c_19_n3000_m600,94745444,0.93,79.415658
MDG-c_20_n3000_m600,94389441,1.31,89.668006
